년도,학기,학과명,과목코드,과목명,분반,주야,이수구분명,교수성명,학점,수강정원,개설여부,강의실명,수강인원,수업시간,수업시간,수업시간,성적평가방식구분,영의강의여부,학년,코드쉐어링과목코드,코드쉐어링분반,코드쉐어링되어진과목,코드쉐어링수강여부,비고,개설세부,인정영역구분,인정영역구분명
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,13,주간,교양선택필수,Megan J. Cawood,3,20,Y,GLC 202,19,"화3,금3","화3,금3","화3,금3",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,14,주간,교양선택필수,Megan J. Cawood,3,20,Y,GLC 202,17,"화4,금4","화4,금4","화4,금4",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10008,English Pre-Course 1,1,주간,교양선택,김영칠,3,5,Y,GLC 204,5,"월2,목2","월2,목2","월2,목2",일반과목,Y,1,,,,N,,,W33,영어2
2016,1,글로벌리더십학부,GCS10050,English Interactions,1,주간,교양선택필수,Alex D. Bishop,3,20,Y,GLC 301,6,"월1,목1","월1,목1","월1,목1",일반과목,Y,1,,,,N,,1,W32,영어1
2016,1,글로벌리더십학부,GCS10050,English Interactions,2,주간,교양선택필수,Alex D. Bishop,3,20,Y,GLC 301,19,"월2,목2","월2,목2","월2,목2",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,7,주간,교양선택필수,John F. Bailey,3,20,Y,GLC 301,20,"월5,목5","월5,목5","월5,목5",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,8,주간,교양선택필수,John F. Bailey,3,20,Y,GLC 301,20,"월6,목6","월6,목6","월6,목6",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,10,주간,교양선택필수,Alex D. Bishop,3,20,Y,GLC 301,16,"화2,금2","화2,금2","화2,금2",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,11,주간,교양선택필수,Mark H. Buzby,3,20,Y,GLC 301,20,"화3,금3","화3,금3","화3,금3",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,12,주간,교양선택필수,Mark H. Buzby,3,20,Y,GLC 301,20,"화4,금4","화4,금4","화4,금4",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,13,주간,교양선택필수,Mark H. Buzby,3,20,Y,GLC 301,20,"화6,금6","화6,금6","화6,금6",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10052,English Foundation ,6,주간,교양선택필수,Amber Hope Montuori,3,20,Y,GLC 302,20,"월2,목2","월2,목2","월2,목2",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10052,English Foundation ,7,주간,교양선택필수,Amber Hope Montuori,3,20,Y,GLC 302,20,"월3,목3","월3,목3","월3,목3",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10052,English Foundation ,8,주간,교양선택필수,Amber Hope Montuori,3,20,Y,GLC 302,20,"월5,목5","월5,목5","월5,목5",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,10,주간,교양선택필수,Daniel Esler,3,20,Y,GLC 302,19,"화6,금6","화6,금6","화6,금6",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,1,주간,교양선택필수,Daniel Esler,3,20,Y,GLC 302,20,"화1,금1","화1,금1","화1,금1",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,2,주간,교양선택필수,Daniel Esler,3,20,Y,GLC 302,20,"화2,금2","화2,금2","화2,금2",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,3,주간,교양선택필수,Daniel Esler,3,20,Y,GLC 302,19,"화3,금3","화3,금3","화3,금3",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,15,주간,교양선택필수,Amber Hope Montuori,3,20,Y,GLC 302,19,"화4,금4","화4,금4","화4,금4",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,16,주간,교양선택필수,Amber Hope Montuori,3,20,Y,GLC 302,18,"화5,금5","화5,금5","화5,금5",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS40001,Essentials of English Communication,1,주간,교양선택,Robert MacLeod,3,4,Y,GLC 302,4,"월4,목4","월4,목4","월4,목4",일반과목,Y,4,,,,N,,,W33,영어2
2016,1,글로벌리더십학부,GCS10052,English Foundation ,4,주간,교양선택필수,Richard M. Hamm,3,20,Y,GLC 303,20,"월4,목4","월4,목4","월4,목4",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10052,English Foundation ,5,주간,교양선택필수,Richard M. Hamm,3,20,Y,GLC 303,20,"월5,목5","월5,목5","월5,목5",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10052,English Foundation ,12,주간,교양선택필수,Ashley Nation,3,20,Y,GLC 303,20,"월6,목6","월6,목6","월6,목6",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,3,주간,교양선택필수,Kurt A. Davidek,3,20,Y,GLC 303,19,"화2,금2","화2,금2","화2,금2",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,4,주간,교양선택필수,Kurt A. Davidek,3,20,Y,GLC 303,19,"화3,금3","화3,금3","화3,금3",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,4,주간,교양선택필수,GeorgeVanBruggen,3,20,Y,GLC 303,20,"화4,금4","화4,금4","화4,금4",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,5,주간,교양선택필수,GeorgeVanBruggen,3,20,Y,GLC 303,20,"화5,금5","화5,금5","화5,금5",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,6,주간,교양선택필수,GeorgeVanBruggen,3,20,Y,GLC 303,20,"화6,금6","화6,금6","화6,금6",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,5,주간,교양선택필수,Chad McDonald,3,20,Y,GLC 303,16,"월2,목2","월2,목2","월2,목2",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,6,주간,교양선택필수,Chad McDonald,3,20,Y,GLC 303,18,"월3,목3","월3,목3","월3,목3",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10052,English Foundation ,1,주간,교양선택필수,우진하,3,20,Y,GLC 304,21,"월3,목3","월3,목3","월3,목3",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10052,English Foundation ,2,주간,교양선택필수,우진하,3,20,Y,GLC 304,21,"월4,목4","월4,목4","월4,목4",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10052,English Foundation ,3,주간,교양선택필수,우진하,3,20,Y,GLC 304,20,"월6,목6","월6,목6","월6,목6",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10052,English Foundation ,9,주간,교양선택필수,Craig G. Smith,3,20,Y,GLC 304,20,"월1,목1","월1,목1","월1,목1",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10052,English Foundation ,10,주간,교양선택필수,Craig G. Smith,3,20,Y,GLC 304,20,"월2,목2","월2,목2","월2,목2",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10052,English Foundation ,11,주간,교양선택필수,Ashley Nation,3,20,Y,GLC 304,20,"월5,목5","월5,목5","월5,목5",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,1,주간,교양선택필수,Chad McDonald,3,20,Y,GLC 304,9,"화2,금2","화2,금2","화2,금2",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,2,주간,교양선택필수,Chad McDonald,3,20,Y,GLC 304,17,"화3,금3","화3,금3","화3,금3",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,14,주간,교양선택필수,우진하,3,20,Y,GLC 304,20,"화4,금4","화4,금4","화4,금4",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,15,주간,교양선택필수,우진하,3,20,Y,GLC 304,20,"화5,금5","화5,금5","화5,금5",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,6,주간,교양선택필수,Ashley Nation,3,20,Y,GLC 305,20,"화4,금4","화4,금4","화4,금4",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,7,주간,교양선택필수,John F. Bailey,3,20,Y,GLC 305,20,"화5,금5","화5,금5","화5,금5",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,8,주간,교양선택필수,John F. Bailey,3,20,Y,GLC 305,20,"화6,금6","화6,금6","화6,금6",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,4,주간,교양선택필수,Jeremy D. Knapp,3,20,Y,GLC 305,15,"월1,목1","월1,목1","월1,목1",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,5,주간,교양선택필수,Jeremy D. Knapp,3,19,Y,GLC 305,19,"월2,목2","월2,목2","월2,목2",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,6,주간,교양선택필수,Jeremy D. Knapp,3,20,Y,GLC 305,20,"월4,목4","월4,목4","월4,목4",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,10,주간,교양선택필수,Alex D. Bishop,3,20,Y,GLC 305,13,"화3,금3","화3,금3","화3,금3",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,11,주간,교양선택필수,Jeremy D. Knapp,3,19,Y,GLC 305,19,"화1,금1","화1,금1","화1,금1",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,12,주간,교양선택필수,Jeremy D. Knapp,3,0,Y,GLC 305,19,"화2,금2","화2,금2","화2,금2",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GEK10061,음악의 이해,1,주간,교양선택,한지은,3,45,Y,HCA 2F,45,"화2,금2","화2,금2","화2,금2",성적만P/F나감,N,1,,,,N,4-2학년25명/1학년20명,,W17,예술
2016,1,글로벌리더십학부,GEK10061,음악의 이해,2,주간,교양선택,한지은,3,45,Y,HCA 2F,46,"화3,금3","화3,금3","화3,금3",성적만P/F나감,N,1,,,,N,4-2학년25명/1학년20명,,W17,예술
2016,1,글로벌리더십학부,GEK10098,교회음악 연습,1,주간,교양선택,한지은,2,45,Y,HCA 2F,46,"화5,금5","화5,금5","화5,금5",성적만P/F나감,N,1,,,,N,4-2학년25명/1학년20명,,W17,예술
2016,1,글로벌리더십학부,GEK10098,교회음악 연습,2,주간,교양선택,유진아,2,40,Y,HCA 2F,59,"화6,화7","화6,화7","화6,화7",성적만P/F나감,Y,1,,,,N,16:00~17:40,,W17,예술
2016,1,글로벌리더십학부,GCS10011,이공계 글쓰기,1,주간,교양선택필수,김종록외 1명,3,30,Y,HDH 303A,34,"화3,금3","화3,금3","화3,금3",일반과목,N,1,,,,N,,,W55,소통
2016,1,글로벌리더십학부,GCS10012,인문사회계 글쓰기,1,주간,교양선택필수,김종록,3,30,Y,HDH 303A,38,"화2,금2","화2,금2","화2,금2",일반과목,N,1,,,,N,,,W55,소통
2016,1,글로벌리더십학부,GCS10037,중국어1,10,주간,교양선택,화위,3,25,Y,HDH 303A,25,"월4,목4","월4,목4","월4,목4",일반과목,N,1,,,,N,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10037,중국어1,11,주간,교양선택,화위,3,25,Y,HDH 303A,25,"월5,목5","월5,목5","월5,목5",일반과목,N,1,,,,N,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10054,한국어 1,1,주간,교양선택필수,장은혜,3,20,Y,HDH 303A,12,"화5,금5","화5,금5","화5,금5",일반과목,N,1,,,,N,,1,W54,한국어
2016,1,글로벌리더십학부,GCS10055,한국어 2,1,주간,교양선택필수,석지영,3,20,Y,HDH 303A,18,"월2,목2","월2,목2","월2,목2",일반과목,N,1,,,,N,,,W54,한국어
2016,1,글로벌리더십학부,GCS10056,한국어 3,1,주간,교양선택필수,장은혜,3,20,Y,HDH 303A,8,"화6,금6","화6,금6","화6,금6",일반과목,N,1,,,,N,,1,W54,한국어
