과목코드,분반,수강정원,강의실명,수강인원
MEC20005,2,60,NMH 107,44
MEC20006,1,60,NMH 107,41
MEC20055,1,60,NMH 107,77
MEC20055,2,40,NMH 107,8
MEC20055,3,40,NMH 107,35
MEC30058,1,40,NMH 107,48
MEC30066,1,50,NMH 107,53
MEC30072,1,40,NMH 107,57
MEC40006,1,50,NMH 107,56
CSW30019,1,40,NMH 107,35
IID30011,2,30,NMH 107,57
GCS10019,1,25,NMH 108,25
GCS10037,8,25,NMH 108,24
GCS10037,9,25,NMH 108,32
GCS10037,12,25,NMH 108,24
GEK10075,1,1,NMH 108,40
CCE20001,1,30,NMH 108,8
CCE30003,1,40,NMH 108,2
MEC20054,1,40,NMH 108,37
GCS10033,2,25,NMH 109,25
GCS10033,3,25,NMH 109,25
GCS10033,4,25,NMH 109,16
GCS10034,1,25,NMH 109,13
GEK20051,2,40,NMH 109,25
MEC20059,1,40,NMH 109,40
MEC30052,1,40,NMH 109,37
MEC30068,2,40,NMH 109,35
BFT40002,1,20,NMH 109,19
IID20006,1,30,NMH 202,37
IID20006,2,30,NMH 202,38
IID20006,3,30,NMH 202,36
IID30078,1,30,NMH 202,13
IID30086,1,30,NMH 202,29
IID30086,2,30,NMH 202,30
IID30086,3,20,NMH 202,20
IID40067,1,20,NMH 202,18
IID40067,2,20,NMH 202,20
IID40067,3,20,NMH 202,18
IID40070,2,20,NMH 202,14
IID40078,2,30,NMH 202,31
IID10004,1,30,NMH 204,29
IID10004,2,30,NMH 204,27
IID10004,3,30,NMH 204,28
IID20013,2,30,NMH 204,35
IID20013,3,30,NMH 204,38
IID20061,1,30,NMH 204,36
IID20061,2,30,NMH 204,30
IID30076,1,30,NMH 204,17
IID40071,2,20,NMH 204,14
IID30011,1,30,NMH 205B,32
IID30080,1,30,NMH 205B,24
IID30082,1,30,NMH 205B,12
IID40066,1,15,NMH 205B,28
IID40066,2,15,NMH 205B,26
CSW20012,1,60,NMH 207,60
CSW20012,2,60,NMH 207,60
CSW30009,1,50,NMH 207,40
CSW30009,3,50,NMH 207,18
CSW30012,1,60,NMH 207,60
CSW30017,1,60,NMH 207,43
CSW30025,1,60,NMH 207,59
CSW30026,1,60,NMH 207,18
CSW30026,2,60,NMH 207,16
CSW40054,1,0,NMH 207,
CSW40054,3,0,NMH 207,
CSW40084,1,60,NMH 207,24
IID20014,1,25,NMH 208,24
IID20014,2,25,NMH 208,23
IID20016,1,30,NMH 208,31
IID20016,2,30,NMH 208,32
IID20016,3,30,NMH 208,34
IID20059,1,25,NMH 208,25
IID20059,2,25,NMH 208,25
IID20059,3,25,NMH 208,25
IID20061,3,30,NMH 208,30
IID30071,2,25,NMH 208,20
IID40070,1,20,NMH 208,10
GCS10061,1,60,NMH 307,15
GEK10041,3,60,NMH 307,53
GEK10059,2,60,NMH 307,60
MEC30053,1,40,NMH 307,38
MEC30057,1,40,NMH 307,11
MEC30068,1,40,NMH 307,38
BFT30001,1,74,NMH 307,72
BFT30004,1,21,NMH 307,21
BFT30010,1,25,NMH 307,28
BFT30010,2,25,NMH 307,21
BFT30013,1,20,NMH 307,30
BFT30013,2,20,NMH 307,21
BFT30016,1,50,NMH 307,54
BFT40001,1,50,NMH 307,31
BFT40052,1,40,NMH 307,33
ISE20081,1,40,NMH 309,40
ISE30093,1,40,NMH 309,9
MEC20002,1,40,NMH 309,43
MEC30006,1,40,NMH 309,30
BFT30004,2,20,NMH 309,20
BFT40051,1,30,NMH 309,7
IID20013,1,30,NMH 309,36
IID30020,1,30,NMH 309,12
IID40071,1,20,NMH 309,10
MEC40010,1,40,NMH 310,15
BFT30004,3,20,NMH 310,10
BFT30020,1,40,NMH 310,33
BFT30027,1,40,NMH 310,37
BFT30057,1,30,NMH 310,19
BFT40012,1,40,NMH 310,38
BFT40013,1,50,NMH 310,29
BFT40055,1,30,NMH 310,17
IID40078,1,30,NMH 310,24
GCS10027,1,25,NMH 402,32
GCS10027,2,25,NMH 402,26
GCS10028,1,25,NMH 402,16
GEK10089,1,40,NMH 402,14
GEK10089,2,40,NMH 402,17
GEK20028,3,40,NMH 402,40
CCC30081,1,40,NMH 402,36
CCC40046,1,30,NMH 402,26
CSW20012,3,40,NMH 402,45
GEK10057,3,60,NMH 403,76
GEK10059,3,50,NMH 403,51
GEK20058,4,65,NMH 403,70
GEK20058,5,65,NMH 403,68
GEK20058,6,65,NMH 403,65
GEK20059,1,65,NMH 403,80
GEK20062,1,75,NMH 403,80
GEK20062,3,75,NMH 403,75
GEK20063,1,65,NMH 403,44
GEK40091,2,60,NMH 403,67
GEK10011,3,60,NMH 404,62
GEK10055,3,60,NMH 404,61
GEK10088,1,60,NMH 404,58
GEK10088,2,60,NMH 404,61
GEK20016,1,70,NMH 404,90
GEK20058,10,65,NMH 404,26
GEK20063,2,65,NMH 404,34
GEK20063,3,65,NMH 404,64
GEK20063,4,65,NMH 404,34
CCC20020,1,40,NMH 405,40
CCC20053,1,40,NMH 405,42
CCC20056,1,30,NMH 405,29
CCC20064,1,40,NMH 405,46
CCC20065,1,50,NMH 405,37
CCC20074,1,20,NMH 405,25
CCC20076,1,0,NMH 405,19
CCC20092,1,25,NMH 405,28
CCC30053,1,25,NMH 405,25
CCC30057,1,30,NMH 405,25
CCC40050,1,20,NMH 405,11
CCC40073,1,20,NMH 405,14
CCC40081,1,25,NMH 405,19
CCC40084,1,30,NMH 405,25
CCC30083,1,25,NMH 406,12
CCC30094,1,25,NMH 406,29
ENG20022,1,0,NMH 410A,15
GCS10003,1,50,NMH 410A,62
GCS10004,1,50,NMH 410A,58
GCS10061,2,60,NMH 410A,18
GCS10061,3,60,NMH 410A,14
GEK10022,1,40,NMH 410A,41
GEK10041,2,60,NMH 410A,57
GEK10058,1,0,NMH 410A,54
GEK10059,1,60,NMH 410A,60
GEK10060,1,60,NMH 410A,27
GEK10070,1,60,NMH 410A,60
BFT30055,1,40,NMH 410A,15
BFT40005,1,20,NMH 410A,20
BFT40005,2,20,NMH 410A,15
GEK10022,2,40,NMH 410B,40
GEK10035,1,60,NMH 410B,33
GEK10040,1,60,NMH 410B,45
GEK10040,2,60,NMH 410B,57
GEK10058,2,60,NMH 410B,24
GEA20004,1,40,NMH 410B,18
CCC30035,1,20,NMH 410B,20
CCC40044,1,20,NMH 410B,9
CCC40094,1,30,NMH 410B,29
GEK10094,1,20,NMH 411,15
GEA30021,1,40,NTH 113,13
HMM30006,1,40,NTH 118,25
HMM30011,1,30,NTH 118,16
HMM30055,1,30,NTH 118,30
HMM20028,1,30,NTH 120B,33
HMM20028,2,30,NTH 120B,33
HMM20028,3,30,NTH 120B,30
HMM30018,1,30,NTH 120B,33
HMM30055,2,30,NTH 120B,29
CUE40009,1,15,NTH 211,18
GEK10053,1,40,NTH 212,32
CUE20003,1,20,NTH 212,15
CUE20003,2,20,NTH 212,20
CUE20051,1,30,NTH 212,10
CUE30003,1,40,NTH 212,10
CUE30005,1,30,NTH 212,17
CUE30012,1,30,NTH 212,8
CUE30031,1,30,NTH 212,12
CUE30051,1,50,NTH 212,38
CUE40012,1,30,NTH 212,31
CUE40052,1,40,NTH 212,22
GCS10014,1,40,NTH 213,34
GCS10041,1,25,NTH 213,24
GCS10041,2,25,NTH 213,15
GEK10021,2,25,NTH 213,12
GEK10021,3,20,NTH 213,12
GEK10077,1,30,NTH 213,30
GEK20021,2,25,NTH 213,24
GEK20021,3,20,NTH 213,7
GEK30007,1,40,NTH 213,32
CCE32001,1,35,NTH 213,22
ECE40093,3,0,NTH 213,25
CUE20014,1,30,NTH 213,9
HMM20031,2,40,NTH 214,35
HMM40029,1,30,NTH 214,37
HMM40037,1,40,NTH 214,42
HMM40039,1,30,NTH 214,24
HMM40047,1,40,NTH 214,37
HMM40053,1,30,NTH 214,10
CUE20003,3,20,NTH 215,14
CUE30062,1,20,NTH 215,12
CUE40003,1,20,NTH 217,15
CUE30030,1,30,NTH 218,10
CUE40053,1,35,NTH 218,34
CUE30001,1,15,NTH 220,24
CUE30001,2,15,NTH 220,36
GEA20053,1,40,NTH 310,10
ECE20016,1,40,NTH 310,33
ECE20016,2,40,NTH 310,29
ECE20051,1,40,NTH 310,8
ECE20051,2,40,NTH 310,40
ECE30051,1,40,NTH 310,41
ECE30092,1,0,NTH 310,33
ECE40061,1,40,NTH 310,11
HMM20075,1,40,NTH 310,43
GEA20022,1,40,NTH 311,4
GEA20056,1,50,NTH 311,13
ECE20010,1,40,NTH 311,14
ECE30021,2,40,NTH 311,41
ECE30063,1,40,NTH 311,23
ECE40012,1,20,NTH 311,37
ECE40084,1,40,NTH 311,19
ITP20007,1,40,NTH 311,44
ITP40003,1,20,NTH 311,25
GEK10066,1,80,NTH 313,75
ECE30012,1,30,NTH 313,35
ECE30021,1,50,NTH 313,74
ECE40093,2,0,NTH 313,32
ITP20001,1,50,NTH 313,57
ITP20001,2,50,NTH 313,51
ITP20007,2,50,NTH 313,60
ITP40001,1,40,NTH 313,57
CUE20005,1,50,NTH 313,45
CUE20052,1,65,NTH 313,58
GCS30008,1,20,NTH 412,9
GCS30008,2,20,NTH 412,7
GEK10091,1,35,NTH 412,48
ECE40093,1,0,NTH 412,23
ECE30075,1,30,NTH 413,27
ECE30075,2,30,NTH 413,28
ECE40047,1,20,NTH 414,18
ECE20060,1,40,NTH 417,40
ECE20060,2,40,NTH 417,24
ECE30056,1,40,NTH 417,31
GCS10007,3,45,OH 302,50
GCS10007,4,45,OH 302,45
GCS20006,1,45,OH 302,49
GCS20006,2,45,OH 302,51
GEK10076,1,80,OH 305,76
GEK10076,2,80,OH 305,39
GEK20044,1,40,OH 305,41
CCE20003,1,50,OH 305,31
LAW20009,1,80,OH 305,82
CSW40010,1,40,OH 305,15
HMM10041,1,60,OH 305,57
HMM10041,2,60,OH 305,70
HMM30012,1,60,OH 305,60
GEK10035,2,40,OH 306,39
CCE20005,1,45,OH 306,43
GEA20016,1,40,OH 306,10
ISE10022,1,40,OH 306,27
CSW30009,2,40,OH 306,25
IID30068,1,25,OH 306,18
IID30068,2,25,OH 306,25
CSW20065,1,40,OH 401,72
ECE20010,2,60,OH 401,83
ECE30011,1,50,OH 401,76
ITP20003,1,48,OH 401,40
ITP20003,2,48,OH 401,53
ITP30002,1,50,OH 401,52
ITP30005,1,50,OH 401,49
ITP30008,1,40,OH 401,67
GEE20034,1,40,OH 402,60
GEE30023,1,25,OH 402,52
GEK20042,1,40,OH 402,56
GEK20042,2,50,OH 402,50
GEK20058,9,65,OH 402,64
GEK30030,1,80,OH 402,87
GEK40091,1,80,OH 402,80
CSW20015,1,60,OH 402,42
CSW20079,1,80,OH 402,66
GEK10096,3,60,OH 403,78
GEK20058,1,65,OH 403,66
GEK20058,2,65,OH 403,90
GEK20058,3,65,OH 403,80
GEK20058,7,65,OH 403,67
GEK20058,8,65,OH 403,66
GEK20062,2,70,OH 403,106
GEK30015,1,50,OH 403,55
GEK10030,1,120,OH 405,138
GEK10042,1,100,OH 405,102
GEK10057,1,60,OH 405,94
GEK20048,1,40,OH 405,39
GEK20048,2,40,OH 405,2
GEK20048,3,40,OH 405,0
GEK20048,4,40,OH 405,0
GEK30015,2,150,OH 405,103
MEC10001,1,120,OH 405,120
CSW20054,1,130,OH 405,130
BFT20001,1,130,OH 405,98
BFT20002,1,130,OH 405,107
ECE20057,1,90,OH 405,129
HMM20026,1,60,OH 405,113
GCS10058,2,45,OH 420,49
GEK10041,4,50,OH 420,14
GEK20011,1,50,OH 420,55
GEK20011,3,60,OH 420,56
GEK20017,1,60,OH 420,24
GEK20051,1,50,OH 420,40
GEK30014,1,60,OH 420,62
GEK30014,2,50,OH 420,43
GEK20028,4,50,OH Media,52
IID30018,1,40,OH Media,40
GEK10011,2,160,SU 101,165
GEK10021,6,20,SU 101,21
GEK10021,7,20,SU 101,20
GEK20028,1,60,SU 101,60
GEK20028,2,60,SU 101,60
GEK30022,1,60,SU 101,60
