NMH 403,"[14, 50]",0vgFfTuI,GEK10045.1
SU 101,"[3, 39]",0vgFfTuI,GEK10062.2
HDH 303A,"[17, 53]",0Vss2WMf,PCO10024.3
HDH 403,"[13, 49]",0Vss2WMf,PCO10058.11
NMH 108,"[15, 16]",0Vss2WMf,GEK10045.13
OH 305,"[18, 19]",0Vss2WMf,GEK10037.2
OH 402,"[39, 40]",0Vss2WMf,GEK20011.1
OH 402,"[50, 51]",0Vss2WMf,GEK10041.2
HDH 402,"[8, 44]",0xOyVSi8,PCO10058.16
HDH 424,"[2, 38]",0xOyVSi8,ISL10075.6
NMH 404,"[14, 50]",0xOyVSi8,GEK10045.7
NTH 212,"[5, 41]",0xOyVSi8,PCO10012.14
OH 405,"[3, 39]",0xOyVSi8,GEK10042.1
ANH Auditorium,"[5, 41]",0XpCZUeW,ISE10052.2
GLC 304,"[3, 39]",0XpCZUeW,PCO10012.3
HDH 403,"[13, 49]",0XpCZUeW,PCO10058.11
NMH 105,"[2, 38]",0XpCZUeW,ISE10051.1
NMH 403,"[15, 51]",0XpCZUeW,GEK10045.2
NMH 410A,"[14, 50]",0XpCZUeW,GEK10059.1
OH 402,"[17, 53]",0XpCZUeW,GEK20031.2
ANH 302,"[6, 42]",0YSKpyeE,LAW10004.1
HDH 403,"[14, 50]",0YSKpyeE,PCO10058.12
HDH 425B,"[15, 51]",0YSKpyeE,GEK10045.8
NMH 105,"[2, 38]",0YSKpyeE,ISE10051.1
NMH 108,"[3, 39]",0YSKpyeE,ISL10075.7
OH 420,"[17, 53]",0YSKpyeE,GEK20017.1
GLC 303,"[3, 39]",12M4hi6W,PCO10013.4
HDH 403,"[1, 37]",12M4hi6W,CUE20052.1
NMH 403,"[14, 50]",12M4hi6W,GEK10045.1
NMH 404,"[6, 42]",12M4hi6W,PCO10058.14
NTH 212,"[15, 51]",12M4hi6W,CUE20011.1
NTH 313,"[5, 41]",12M4hi6W,GEK10059.4
HDH 402,"[7, 43]",16dGVIJF,PCO10058.15
NMH 108,"[5, 41]",16dGVIJF,ISL10075.9
NMH 410A,"[15, 51]",16dGVIJF,GEK10070.1
NTH 313,"[6, 42]",16dGVIJF,ISE10052.1
OH 403,"[14, 50]",16dGVIJF,GEK10041.1
OH 403,"[16, 17]",16dGVIJF,GEK10045.9
GLC 101,"[14, 50]",1edk201m,PCO10012.13
HDH 318,"[2, 38]",1edk201m,PCO10058.4
NMH 410A,"[7, 43]",1edk201m,GEK10056.1
OH 401,"[15, 51]",1edk201m,GEK10045.6
OH 405,"[6, 42]",1edk201m,MEC10001.2
SU 104,"[3, 39]",1edk201m,GEK10096.3
HDH 320A,"[3, 39]",1gvlULC9,GEK20053.1
HDH 424,"[15, 51]",1gvlULC9,PCO10058.3
NMH 106,"[2, 38]",1gvlULC9,MEC10002.3
NMH 108,"[5, 41]",1gvlULC9,ISL10075.9
NMH 109,"[6, 42]",1gvlULC9,ISL10091.2
NMH 402,"[14, 50]",1gvlULC9,MEC10001.3
GLC 101,"[14, 50]",1k9xqe4I,PCO10012.13
HDH 403,"[13, 49]",1k9xqe4I,PCO10058.11
NMH 106,"[15, 51]",1k9xqe4I,MEC10001.1
NMH 106,"[17, 53]",1k9xqe4I,MEC10002.5
NMH 108,"[3, 39]",1k9xqe4I,ISL10075.7
NMH 404,"[5, 41]",1k9xqe4I,GEK10045.14
HDH 402,"[8, 44]",1KFwoIdL,PCO10058.16
HDH 425B,"[15, 51]",1KFwoIdL,GEK10045.8
NMH 105,"[2, 38]",1KFwoIdL,ISE10051.1
NMH 108,"[5, 41]",1KFwoIdL,ISL10075.9
NMH 410B,"[7, 43]",1KFwoIdL,CCC20072.1
OH 402,"[17, 53]",1KFwoIdL,GEK20031.2
NMH 104A,[1],1pG5pQDb,GEA20008.1
NMH 106,"[2, 38]",1pG5pQDb,GMP10001.2
NMH 402,"[14, 50]",1pG5pQDb,GMP10003.1
NMH 404,"[5, 41]",1pG5pQDb,GEK10045.14
OH 302,"[13, 49]",1pG5pQDb,PCO10058.7
OH 306,"[16, 17, 52, 53]",1pG5pQDb,GEK10000.1
SU 101,"[3, 39]",1pG5pQDb,GEK10062.2
GLC 106,"[16, 52]",1ttqx9bz,PCO10012.12
HDH 403,"[14, 50]",1ttqx9bz,PCO10058.12
NMH 106,"[17, 53]",1ttqx9bz,MEC10002.5
NMH 403,"[15, 51]",1ttqx9bz,GEK10045.2
OH 403,"[2, 38]",1ttqx9bz,GEK10062.1
OH 405,"[3, 39]",1ttqx9bz,GEK10042.1
HDH 424,"[13, 49]",1u3GEBcq,PCO10058.1
NMH 105,"[1, 37]",1u3GEBcq,GEK10057.2
NMH 106,"[17, 53]",1u3GEBcq,MEC10002.5
NMH 108,"[5, 41]",1u3GEBcq,ISL10075.9
NMH 209,"[2, 38]",1u3GEBcq,PCO20004.5
OH 421,"[14, 50]",1u3GEBcq,GEK10045.3
ANH Auditorium,"[3, 39]",1W3UysQL,MEC10002.1
GLC 304,"[4, 40]",1W3UysQL,PCO10012.8
HCA 2F,"[14, 50]",1W3UysQL,GEK10061.1
HCA 3F,"[6, 42]",1W3UysQL,PCO10058.10
NMH 204,"[53, 54]",1W3UysQL,IID10005.2
OH 403,"[16, 17]",1W3UysQL,GEK10045.9
GLC 302,"[6, 42]",1YW6Qz4K,PCO10013.6
HDH 303A,"[17, 53]",1YW6Qz4K,PCO10024.3
HDH 402,"[2, 38]",1YW6Qz4K,PCO10058.8
OH 305,"[14, 50]",1YW6Qz4K,ISE10002.1
OH 401,"[15, 51]",1YW6Qz4K,GEK10045.6
OH 405,"[3, 39]",1YW6Qz4K,GEK10042.1
ANH 313,"[6, 42]",1ZiLNw2K,PCO10058.18
GLC 304,"[5, 41]",1ZiLNw2K,PCO10012.9
HDH 425B,"[14, 50]",1ZiLNw2K,GEK10040.2
NTH 313,"[15, 51]",1ZiLNw2K,GEK20031.1
OH 403,"[16, 17]",1ZiLNw2K,GEK10045.9
OH 405,"[3, 39]",1ZiLNw2K,GEK10042.1
ANH 313,"[4, 40]",2aAcjcRh,ISE10051.2
GLC 106,"[13, 49]",2aAcjcRh,PCO10012.10
HCA 2F,"[14, 50]",2aAcjcRh,GEK10061.1
HDH 318,"[2, 38]",2aAcjcRh,PCO10058.4
NMH 106,"[15, 51]",2aAcjcRh,MEC10001.1
NMH 410B,"[17, 18]",2aAcjcRh,GEK20051.1
OH 403,"[5, 41]",2aAcjcRh,GEK10022.1
ANH 302,"[6, 42]",2ACjsFbp,LAW10004.1
GLC 304,"[18, 54]",2ACjsFbp,PCO10012.18
HDH 402,"[7, 43]",2ACjsFbp,PCO10058.15
HDH 418B,"[2, 38]",2ACjsFbp,PCO10024.1
NMH 105,"[1, 37]",2ACjsFbp,GEK10057.2
OH 421,"[15, 51]",2ACjsFbp,GEK10045.4
ANH Auditorium,"[3, 39]",2AgHFcuS,MEC10002.1
GLC 106,"[13, 49]",2AgHFcuS,PCO10012.10
NMH 404,"[6, 42]",2AgHFcuS,PCO10058.14
NMH 410A,"[17, 18]",2AgHFcuS,GEK10045.12
OH 306,"[15, 51]",2AgHFcuS,GEK10095.1
OH 420,"[2, 38]",2AgHFcuS,ISL10071.1
GLC 106,"[13, 49]",2d3eOFoG,PCO10012.10
HDH 418B,"[2, 38]",2d3eOFoG,PCO10024.1
HDH 419,"[51, 52]",2d3eOFoG,GEK10038.4
NMH 207,"[14, 50]",2d3eOFoG,GEK10055.2
NMH 410A,"[17, 18]",2d3eOFoG,GEK10045.12
SU 104,"[3, 39]",2d3eOFoG,GEK10096.3
GLC 101,"[14, 50]",2e0ZHbvZ,PCO10012.13
HDH 403,"[3, 39]",2e0ZHbvZ,PCO10058.9
NMH 105,"[1, 37]",2e0ZHbvZ,GEK10057.2
NMH 403,"[15, 51]",2e0ZHbvZ,GEK10045.2
OH 402,"[17, 53]",2e0ZHbvZ,GEK20031.2
OH 405,"[6, 42]",2e0ZHbvZ,MEC10001.2
GLC 302,"[6, 42]",2gAHHIaZ,PCO10013.6
HDH 424,"[15, 51]",2gAHHIaZ,PCO10058.3
NMH 106,"[17, 53]",2gAHHIaZ,MEC10002.5
NMH 108,"[3, 39]",2gAHHIaZ,ISL10075.7
NMH 109,"[5, 41]",2gAHHIaZ,ISL10091.1
OH 405,"[14, 50]",2gAHHIaZ,GEK10045.5
NMH 105,"[2, 38]",2hTE2BYS,ISE10051.1
NMH 404,"[5, 41]",2hTE2BYS,GEK10045.14
NTH 213,"[14, 50]",2hTE2BYS,ISL10073.2
NTH 313,"[6, 42]",2hTE2BYS,ISE10052.1
OH 302,"[13, 49]",2hTE2BYS,PCO10058.7
OH 305,"[16, 17]",2hTE2BYS,GEK10035.3
ANH 302,"[6, 42]",2MGywcxs,LAW10004.1
GLC 304,"[5, 41]",2MGywcxs,PCO10012.9
HDH 318,"[17, 18]",2MGywcxs,ISE20085.1
HDH 403,"[3, 39]",2MGywcxs,PCO10058.9
NMH 108,"[15, 16]",2MGywcxs,GEK10045.13
OH 420,"[2, 38]",2MGywcxs,ISL10071.1
ANH Auditorium,"[5, 41]",2njgWVEW,ISE10052.2
GLC 302,"[2, 38]",2njgWVEW,PCO10013.1
HDH 303B,"[3, 39]",2njgWVEW,ISL10075.11
HDH 403,"[13, 49]",2njgWVEW,PCO10058.11
NMH 106,"[15, 51]",2njgWVEW,MEC10001.1
NMH 403,"[14, 50]",2njgWVEW,GEK10045.1
GLC 302,"[2, 38]",2OEc7J7O,PCO10013.1
HDH 424,"[14, 50]",2OEc7J7O,PCO10058.2
HDH 425B,"[15, 51]",2OEc7J7O,GEK10045.8
NMH 105,"[1, 37]",2OEc7J7O,GEK10057.2
OH 402,"[17, 53]",2OEc7J7O,GEK20031.2
OH 405,"[3, 39]",2OEc7J7O,GEK10042.1
HDH 403,"[14, 50]",2sEOPvgo,PCO10058.12
HDH 425B,"[6, 7]",2sEOPvgo,GEK20044.1
NMH 109,"[5, 41]",2sEOPvgo,ISL10091.1
NTH 417,"[3, 39]",2sEOPvgo,PCO10012.4
OH 306,"[15, 51]",2sEOPvgo,GEK10095.1
OH 403,"[17, 18]",2sEOPvgo,GEK10045.10
GLC 101,"[14, 50]",2yZQyz3w,PCO10012.13
HCA 3F,"[6, 42]",2yZQyz3w,PCO10058.10
NMH 105,"[2, 38]",2yZQyz3w,ISE10051.1
NMH 403,"[3, 39]",2yZQyz3w,GEK20045.1
NMH 410B,"[17, 18]",2yZQyz3w,GEK20051.1
NTH 313,"[5, 41]",2yZQyz3w,GEK10059.4
OH 405,"[15, 51]",2yZQyz3w,GEK10030.1
GLC 101,"[2, 38]",303ZCYVg,PCO20004.1
HDH 424,"[14, 50]",303ZCYVg,PCO10058.2
NMH 403,"[15, 51]",303ZCYVg,GEK10045.2
NMH 403,"[17, 53]",303ZCYVg,GEK10058.2
NMH 410A,"[5, 41]",303ZCYVg,GEK10057.1
OH 305,"[20, 21]",303ZCYVg,GEK10037.1
SU 101,"[3, 39]",303ZCYVg,GEK10062.2
GLC 305,"[3, 39]",3cnSuYHp,PCO20004.2
NMH 105,"[2, 38]",3cnSuYHp,ISE10051.1
NMH 108,"[18, 54]",3cnSuYHp,ISL10075.10
NMH 403,"[14, 50]",3cnSuYHp,GEK10045.1
NTH 313,"[15, 51]",3cnSuYHp,GEK20031.1
NTH 313,"[6, 42]",3cnSuYHp,ISE10052.1
ANH 313,"[4, 40]",3d9Q2Nhj,ISE10051.2
GLC 106,"[2, 38]",3d9Q2Nhj,PCO10013.7
HCA 3F,"[6, 42]",3d9Q2Nhj,PCO10058.10
HDH 425B,"[18, 19]",3d9Q2Nhj,GEK20022.1
NMH 104A,"[13, 49]",3d9Q2Nhj,ISL20077.2
NMH 403,"[15, 51]",3d9Q2Nhj,GEK10045.2
GLC 302,"[6, 42]",3deen45w,PCO10013.6
HDH 303A,"[1, 37]",3deen45w,GEK10096.1
NMH 404,"[17, 53]",3deen45w,GEK10058.1
NMH 404,"[3, 39]",3deen45w,GEK10060.1
NMH 410A,"[5, 41]",3deen45w,GEK10057.1
OH 405,"[15, 51]",3deen45w,GEK10030.1
ANH 313,"[6, 42]",3eueB9IV,PCO10058.18
GLC 101,"[17, 53]",3eueB9IV,PCO10012.15
HDH 303A,"[18, 54]",3eueB9IV,PCO10024.4
NMH 403,"[15, 51]",3eueB9IV,GEK10045.2
OH 405,"[3, 39]",3eueB9IV,GEK10042.1
OH 420,"[2, 38]",3eueB9IV,ISL10071.1
HDH 402,"[7, 43]",3guOEsGq,PCO10058.15
HDH 403,"[1, 37]",3guOEsGq,CUE20052.1
NMH 105,"[6, 42]",3guOEsGq,MEC10002.4
OH 302,"[2, 38]",3guOEsGq,PCO10012.2
OH 306,"[15, 51]",3guOEsGq,GEK10095.1
OH 403,"[17, 18]",3guOEsGq,GEK10045.10
GLC 304,"[3, 39]",3jsGVKqR,PCO10012.3
HCA 3F,"[6, 42]",3jsGVKqR,PCO10058.10
NMH 404,"[14, 50]",3jsGVKqR,GEK10045.7
NTH 313,"[15, 51]",3jsGVKqR,GEK20031.1
OH 305,"[4, 40]",3jsGVKqR,ISL10075.8
OH 403,"[2, 38]",3jsGVKqR,GEK10062.1
GLC 304,"[4, 40]",3PnxGp9a,PCO10012.8
HDH 303A,"[1, 37]",3PnxGp9a,GEK10096.1
NMH 410A,"[16, 17]",3PnxGp9a,GEK10045.11
NMH 410A,"[5, 41]",3PnxGp9a,GEK10057.1
OH 302,"[3, 39]",3PnxGp9a,PCO10058.5
OH 402,"[14, 15]",3PnxGp9a,GEK30022.1
GLC 106,"[13, 49]",3QYop0ZI,PCO10012.10
HDH 303B,"[3, 39]",3QYop0ZI,ISL10075.11
HDH 402,"[2, 38]",3QYop0ZI,PCO10058.8
HDH 418B,"[17, 53]",3QYop0ZI,GEK10035.1
OH 405,"[14, 50]",3QYop0ZI,GEK10045.5
OH 405,"[6, 42]",3QYop0ZI,MEC10001.2
HDH 418B,"[2, 38]",3rlhvJ3f,PCO10024.1
NTH 212,"[5, 41]",3rlhvJ3f,PCO10012.14
