과목코드,분반,수강정원,강의실명,수강인원,수업시간
GCS10050,1,20,GLC 301,6,"월1,목1"
GCS10050,2,20,GLC 301,19,"월2,목2"
GCS20001,7,20,GLC 301,20,"월5,목5"
GCS20001,8,20,GLC 301,20,"월6,목6"
GCS20001,10,20,GLC 301,16,"화2,금2"
GCS20001,11,20,GLC 301,20,"화3,금3"
GCS20001,12,20,GLC 301,20,"화4,금4"
GCS20001,13,20,GLC 301,20,"화6,금6"
GCS10052,6,20,GLC 302,20,"월2,목2"
GCS10052,7,20,GLC 302,20,"월3,목3"
GCS10052,8,20,GLC 302,20,"월5,목5"
GCS10053,10,20,GLC 302,19,"화6,금6"
GCS10062,1,20,GLC 302,20,"화1,금1"
GCS10062,2,20,GLC 302,20,"화2,금2"
GCS10062,3,20,GLC 302,19,"화3,금3"
GCS20002,15,20,GLC 302,19,"화4,금4"
GCS20002,16,20,GLC 302,18,"화5,금5"
GCS40001,1,4,GLC 302,4,"월4,목4"
GCS10052,4,20,GLC 303,20,"월4,목4"
GCS10052,5,20,GLC 303,20,"월5,목5"
GCS10052,12,20,GLC 303,20,"월6,목6"
GCS10053,3,20,GLC 303,19,"화2,금2"
GCS10053,4,20,GLC 303,19,"화3,금3"
GCS10062,4,20,GLC 303,20,"화4,금4"
GCS10062,5,20,GLC 303,20,"화5,금5"
GCS10062,6,20,GLC 303,20,"화6,금6"
GCS20002,5,20,GLC 303,16,"월2,목2"
GCS20002,6,20,GLC 303,18,"월3,목3"
GCS10052,1,20,GLC 304,21,"월3,목3"
GCS10052,2,20,GLC 304,21,"월4,목4"
GCS10052,3,20,GLC 304,20,"월6,목6"
GCS10052,9,20,GLC 304,20,"월1,목1"
GCS10052,10,20,GLC 304,20,"월2,목2"
GCS10052,11,20,GLC 304,20,"월5,목5"
GCS20001,1,20,GLC 304,9,"화2,금2"
GCS20001,2,20,GLC 304,17,"화3,금3"
GCS20001,14,20,GLC 304,20,"화4,금4"
GCS20001,15,20,GLC 304,20,"화5,금5"
GCS10053,6,20,GLC 305,20,"화4,금4"
GCS10053,7,20,GLC 305,20,"화5,금5"
GCS10053,8,20,GLC 305,20,"화6,금6"
GCS20001,4,20,GLC 305,15,"월1,목1"
GCS20001,5,19,GLC 305,19,"월2,목2"
GCS20001,6,20,GLC 305,20,"월4,목4"
GCS20002,10,20,GLC 305,13,"화3,금3"
GCS20002,11,19,GLC 305,19,"화1,금1"
GCS20002,12,0,GLC 305,19,"화2,금2"
GEK10061,1,45,HCA 2F,45,"화2,금2"
GEK10061,2,45,HCA 2F,46,"화3,금3"
GEK10098,1,45,HCA 2F,46,"화5,금5"
GEK10098,2,40,HCA 2F,59,"화6,화7"
GCS10011,1,30,HDH 303A,34,"화3,금3"
GCS10012,1,30,HDH 303A,38,"화2,금2"
GCS10037,10,25,HDH 303A,25,"월4,목4"
GCS10037,11,25,HDH 303A,25,"월5,목5"
GCS10054,1,20,HDH 303A,12,"화5,금5"
GCS10055,1,20,HDH 303A,18,"월2,목2"
GCS10056,1,20,HDH 303A,8,"화6,금6"
GCS10057,1,20,HDH 303A,14,"월3,목3"
GEK10015,2,0,HDH 303A,37,목1
CSW40015,1,60,HDH 303A,13,"월6,목6"
GCS10016,1,30,HDH 303B,24,"수2,수3"
GCS10016,2,30,HDH 303B,24,"화7,금7"
GCS10033,1,25,HDH 303B,25,"화2,금2"
GCS10037,1,25,HDH 303B,27,"월5,목5"
GCS10037,2,25,HDH 303B,25,"월6,목6"
GCS10037,3,25,HDH 303B,26,"화3,금3"
GCS10037,4,25,HDH 303B,23,"화4,금4"
GCS10039,1,25,HDH 303B,22,"화5,금5"
GEK20019,1,30,HDH 303B,27,"월2,목2"
CSW20005,1,40,HDH 303B,50,"월3,목3"
GEK10095,2,80,HDH 318,77,"화3,금3"
ISE10002,1,60,HDH 318,62,"월2,목2"
ISE10051,1,80,HDH 318,80,월4
ISE10051,2,80,HDH 318,73,월5
ISE10052,1,80,HDH 318,77,"수1,수3"
ISE20075,1,60,HDH 318,73,"월3,목3"
ISE20084,1,40,HDH 318,41,"월6,목6"
ISE20085,1,80,HDH 318,50,"화5,화6"
CSW20021,1,69,HDH 318,69,"화1,금1"
CSW30056,1,60,HDH 318,46,"화2,금2"
CSW40054,4,0,HDH 318,5,"목7,목8"
GCS10058,1,40,HDH 320A,49,"월5,목5"
CCE24001,1,30,HDH 320A,16,월7
CCE42001,1,20,HDH 320A,3,"화4,금4"
ISE20006,1,40,HDH 320A,28,"월6,목6"
ISE30081,1,40,HDH 320A,26,"월1,목1"
ISE40013,1,20,HDH 320A,11,"월4,목4"
CCC20086,1,30,HDH 320A,34,"화2,금2"
CSW20001,2,40,HDH 320B,40,"수2,수3"
CSW20020,1,40,HDH 320B,29,"월4,목4"
CSW20064,1,40,HDH 320B,39,"화6,금6"
CSW30006,1,40,HDH 320B,40,"월6,목6"
CSW30008,1,40,HDH 320B,38,"화2,금2"
CSW30021,1,40,HDH 320B,19,"화5,금5"
CSW30035,1,40,HDH 320B,15,"월5,목5"
CSW40010,2,40,HDH 320B,16,"월3,목3"
CSW40052,1,40,HDH 320B,20,"월1,목1"
CSW40054,2,0,HDH 320B,,"화8,금8"
CCE22001,1,35,HDH 323C,33,"화6,금6"
ISE20042,1,40,HDH 323C,14,"월3,목3"
ISE20043,1,40,HDH 323C,37,"화2,금2"
ISE20074,1,40,HDH 323C,43,"화3,금3"
ISE30052,1,40,HDH 323C,15,"월1,목1"
ISE30080,1,40,HDH 323C,16,"화5,금5"
ISE30095,1,40,HDH 323C,10,"월6,목6"
ISE30097,1,40,HDH 323C,30,"화4,금4"
ISE40082,1,40,HDH 323C,14,"수2,수3"
CSW30063,1,40,HDH 323C,35,"월5,목5"
SIE40061,1,2,HDH 323C,1,"월11,수11,금11"
ISE20072,1,40,HDH 324,36,"화4,화5"
ISE30015,1,40,HDH 324,40,"화3,금3"
ISE30032,1,25,HDH 324,22,"화2,금2"
ISE30096,1,25,HDH 324,25,"월2,목2"
ISE40075,1,40,HDH 324,31,"금4,금5"
ISE20040,1,30,HDH 326A,30,"월5,목5"
ISE20086,1,40,HDH 326A,31,"화2,금2"
ISE30071,1,40,HDH 326A,25,"월2,목2"
ISE40073,1,40,HDH 326A,13,"화6,화7"
ISE40073,2,40,HDH 326A,41,"월4,목4"
ISE40085,4,0,HDH 326A,13,"화4,화5"
CSW30081,1,40,HDH 326A,17,"월6,목6"
GCS20008,1,29,HDH 402,29,"월2,월3"
GCS20008,2,29,HDH 402,29,"월5,월6"
IID20055,1,25,HDH 402,25,"화3,화4"
IID20055,2,25,HDH 402,26,"화5,화6"
IID20055,3,25,HDH 402,28,"수2,수3"
IID30067,1,25,HDH 402,25,"금3,금4"
GCS10001,3,45,HDH 403,48,"화5,금5"
GCS10002,1,45,HDH 403,46,"화6,화7"
GCS10002,3,45,HDH 403,51,"월6,목6"
GCS10002,4,45,HDH 403,48,"월7,목7"
GCS10002,5,45,HDH 403,50,"화1,금1"
GCS10002,6,45,HDH 403,49,"화2,금2"
GCS10002,7,45,HDH 403,49,"화3,금3"
GCS10007,1,45,HDH 403,47,"월4,목4"
GCS10007,2,45,HDH 403,47,"월5,목5"
GCS20005,1,45,HDH 403,48,"월2,목2"
GCS20005,2,45,HDH 403,47,"월3,목3"
GCS20005,3,45,HDH 403,45,"월1,목1"
CSW20085,1,40,HDH 403,39,"화4,금4"
GEK10021,4,18,HDH 418B,14,금5
GEK10055,1,60,HDH 418B,57,"화1,금1"
GEK10055,2,60,HDH 418B,73,"화2,금2"
GEK10087,1,60,HDH 418B,38,"목8,목9"
GEK10090,1,60,HDH 418B,63,"화3,금3"
GEK10095,1,80,HDH 418B,77,"월5,목5"
GEK10095,3,80,HDH 418B,60,"화6,금6"
GEK10095,4,60,HDH 418B,43,"월4,목4"
GEK10096,1,80,HDH 418B,79,"월2,목2"
GEK10096,2,80,HDH 418B,78,"월3,목3"
GEK10096,4,80,HDH 418B,53,"월6,목6"
GEK10038,1,25,HDH 419,15,"목1,목2"
GEK10038,2,25,HDH 419,23,"목3,목4"
GEK10038,3,25,HDH 419,28,"목5,목6"
GCS10001,1,45,HDH 424,51,"화2,금2"
GCS10001,2,45,HDH 424,50,"화3,금3"
GCS10001,4,45,HDH 424,51,"월2,목2"
GCS10001,5,45,HDH 424,52,"월3,목3"
GCS10001,6,45,HDH 424,51,"월5,목5"
GCS10001,7,45,HDH 424,47,"월1,목1"
GCS10002,2,45,HDH 424,49,"월6,목6"
GCS20009,1,30,HDH 424,43,"화5,금5"
GCS10010,1,30,HDH 425B,51,"화6,금6"
GEK10053,2,60,HDH 425B,63,"월5,목5"
GEK10090,2,60,HDH 425B,64,"화5,금5"
GEK10093,1,40,HDH 425B,37,"화3,금3"
GEK20033,1,60,HDH 425B,50,"화2,금2"
GEK20053,1,50,HDH 425B,51,"월2,목2"
GEK20053,2,50,HDH 425B,50,"월3,목3"
MEC20057,1,30,NMH 102B,30,"월6,월7"
MEC20057,2,30,NMH 102B,27,"화6,화7"
MEC20057,3,30,NMH 102B,19,"화1,금1"
MEC10002,1,40,NMH 103A,40,"월3,목3"
MEC20001,1,50,NMH 103A,48,"월4,목4"
MEC20001,2,50,NMH 103A,13,"월8,월9"
MEC20002,2,40,NMH 103A,43,"화2,금2"
MEC20051,1,40,NMH 103A,43,"월2,목2"
MEC20051,2,40,NMH 103A,17,"월1,목1"
MEC20058,2,40,NMH 103A,28,"화3,금3"
MEC30010,1,40,NMH 103A,46,"화5,화6"
MEC30012,1,40,NMH 103A,28,"월5,목5"
MEC30074,1,40,NMH 103A,40,"화1,금1"
MEC30074,2,40,NMH 103A,38,"월6,목6"
GCS10019,2,25,NMH 104A,23,"월1,목1"
GCS10023,1,25,NMH 104A,12,"화5,금5"
GCS10037,5,25,NMH 104A,27,"월2,목2"
GCS10037,6,25,NMH 104A,29,"월3,목3"
GCS10037,7,25,NMH 104A,27,"화2,금2"
GCS10039,2,25,NMH 104A,25,"화3,금3"
CCC20050,1,0,NMH 104A,21,"월5,목5"
MEC30075,1,40,NMH 104A,40,"월6,목6"
GEK10062,1,70,NMH 105,70,"월2,목2"
GEK10062,2,70,NMH 105,69,"월3,목3"
GEK10099,1,60,NMH 105,28,"월4,목4"
CCE20002,1,50,NMH 105,27,"수2,수3"
CCE20007,1,50,NMH 105,13,"화7,화8"
CCE30001,1,30,NMH 105,9,"화3,금3"
CCE30006,1,50,NMH 105,10,"화2,금2"
MEC10002,2,80,NMH 105,75,"화4,금4"
MEC30002,1,60,NMH 105,51,"화5,금5"
CSW20005,2,80,NMH 105,86,"월5,목5"
HMM20041,1,60,NMH 105,79,"월1,목1"
MEC10001,2,80,NMH 106,28,"화2,금2"
MEC10002,3,100,NMH 106,50,"월1,목1"
MEC10002,4,40,NMH 106,19,"월2,목2"
MEC20054,2,40,NMH 106,46,"화3,금3"
MEC20055,4,40,NMH 106,23,"화4,금4"
MEC20058,1,60,NMH 106,78,"월3,목3"
MEC20059,2,40,NMH 106,22,"월5,목5"
MEC20059,3,40,NMH 106,37,"화5,금5"
MEC30003,1,40,NMH 106,50,"화1,금1"
MEC30005,1,50,NMH 106,46,"월6,목6"
MEC40055,1,40,NMH 106,26,"월4,목4"
GEA20057,1,40,NMH 107,23,"화4,금4"
MEC10001,3,80,NMH 107,66,"화3,금3"
MEC20005,1,40,NMH 107,68,"화1,금1"
MEC20005,2,60,NMH 107,44,"목8,목9"
MEC20006,1,60,NMH 107,41,"월8,월9"
MEC20055,1,60,NMH 107,77,"월2,목2"
MEC20055,2,40,NMH 107,8,"월5,목5"
MEC20055,3,40,NMH 107,35,"월6,목6"
MEC30058,1,40,NMH 107,48,"월4,목4"
MEC30066,1,50,NMH 107,53,"월1,목1"
MEC30072,1,40,NMH 107,57,"화2,금2"
MEC40006,1,50,NMH 107,56,"월3,목3"
CSW30019,1,40,NMH 107,35,"화5,화6"
IID30011,2,30,NMH 107,57,"수2,수3"
GCS10019,1,25,NMH 108,25,"월2,목2"
GCS10037,8,25,NMH 108,24,"화4,금4"
GCS10037,9,25,NMH 108,32,"화5,금5"
GCS10037,12,25,NMH 108,24,"화3,금3"
GEK10075,1,1,NMH 108,40,목7
CCE20001,1,30,NMH 108,8,"화6,화7"
CCE30003,1,40,NMH 108,2,"화6,화7"
MEC20054,1,40,NMH 108,37,"화2,금2"
GCS10033,2,25,NMH 109,25,"화3,금3"
GCS10033,3,25,NMH 109,25,"화5,금5"
GCS10033,4,25,NMH 109,16,"월4,목4"
GCS10034,1,25,NMH 109,13,"월5,목5"
GEK20051,2,40,NMH 109,25,"수3,수4"
MEC20059,1,40,NMH 109,40,"월3,목3"
MEC30052,1,40,NMH 109,37,"월2,목2"
MEC30068,2,40,NMH 109,35,"화2,금2"
BFT40002,1,20,NMH 109,19,수2
IID20006,1,30,NMH 202,37,"목2,목3"
IID20006,2,30,NMH 202,38,"금2,금3"
IID20006,3,30,NMH 202,36,"금5,금6"
IID30078,1,30,NMH 202,13,"수2,수3"
IID30086,1,30,NMH 202,29,"화2,화3"
IID30086,2,30,NMH 202,30,"화5,화6"
IID30086,3,20,NMH 202,20,"화7,화8"
IID40067,1,20,NMH 202,18,"월1,월2"
IID40067,2,20,NMH 202,20,"월4,월5"
IID40067,3,20,NMH 202,18,"월6,월7"
IID40070,2,20,NMH 202,14,"수8,수9"
IID40078,2,30,NMH 202,31,"목5,목6"
IID10004,1,30,NMH 204,29,"목2,목3"
IID10004,2,30,NMH 204,27,"목5,목6"
IID10004,3,30,NMH 204,28,"금2,금3"
IID20013,2,30,NMH 204,35,"화2,화3"
IID20013,3,30,NMH 204,38,"화5,화6"
IID20061,1,30,NMH 204,36,"월2,월3"
IID20061,2,30,NMH 204,30,"월6,월7"
IID30076,1,30,NMH 204,17,"수2,수3"
IID40071,2,20,NMH 204,14,"화7,화8"
IID30011,1,30,NMH 205B,32,"화2,화3"
IID30080,1,30,NMH 205B,24,"금5,금6"
IID30082,1,30,NMH 205B,12,"화5,화6"
IID40066,1,15,NMH 205B,28,"월6,월7"
IID40066,2,15,NMH 205B,26,"목2,목3"
CSW20012,1,60,NMH 207,60,"화2,금2"
CSW20012,2,60,NMH 207,60,"화3,금3"
CSW30009,1,50,NMH 207,40,"월2,월3"
CSW30009,3,50,NMH 207,18,"화1,금1"
CSW30012,1,60,NMH 207,60,"화5,금5"
CSW30017,1,60,NMH 207,43,"월1,목1"
CSW30025,1,60,NMH 207,59,"월4,목4"
CSW30026,1,60,NMH 207,18,"월5,목5"
CSW30026,2,60,NMH 207,16,"화4,금4"
CSW40054,1,0,NMH 207,,"월8,목8"
CSW40054,3,0,NMH 207,,"월7,목7"
CSW40084,1,60,NMH 207,24,"수2,수3"
IID20014,1,25,NMH 208,24,"수1,수2"
IID20014,2,25,NMH 208,23,"수3,수4"
IID20016,1,30,NMH 208,31,"금2,금3"
IID20016,2,30,NMH 208,32,"목3,목4"
IID20016,3,30,NMH 208,34,"목5,목6"
IID20059,1,25,NMH 208,25,"화1,화2"
IID20059,2,25,NMH 208,25,"화4,화5"
IID20059,3,25,NMH 208,25,"화6,화7"
IID20061,3,30,NMH 208,30,"월5,월6"
IID30071,2,25,NMH 208,20,"월2,월3"
IID40070,1,20,NMH 208,10,"금4,금5"
GCS10061,1,60,NMH 307,15,"월5,월6"
GEK10041,3,60,NMH 307,53,"목5,목6"
GEK10059,2,60,NMH 307,60,"월7,목7"
MEC30053,1,40,NMH 307,38,"화5,금5"
MEC30057,1,40,NMH 307,11,"월1,목1"
MEC30068,1,40,NMH 307,38,"월2,목2"
BFT30001,1,74,NMH 307,72,"화2,금2"
BFT30004,1,21,NMH 307,21,수2
BFT30010,1,25,NMH 307,28,"월8,목8"
BFT30010,2,25,NMH 307,21,"화9,금9"
BFT30013,1,20,NMH 307,30,수8
BFT30013,2,20,NMH 307,21,수9
BFT30016,1,50,NMH 307,54,"화3,금3"
BFT40001,1,50,NMH 307,31,"월3,목3"
BFT40052,1,40,NMH 307,33,"화8,금8"
ISE20081,1,40,NMH 309,40,"금4,금5"
ISE30093,1,40,NMH 309,9,"금2,금3"
MEC20002,1,40,NMH 309,43,"월3,목3"
MEC30006,1,40,NMH 309,30,"월2,목2"
BFT30004,2,20,NMH 309,20,수2
BFT40051,1,30,NMH 309,7,"월5,목5"
IID20013,1,30,NMH 309,36,"월6,월7"
IID30020,1,30,NMH 309,12,화2
IID40071,1,20,NMH 309,10,"화5,화6"
MEC40010,1,40,NMH 310,15,"화2,금2"
BFT30004,3,20,NMH 310,10,수2
BFT30020,1,40,NMH 310,33,"월6,목6"
BFT30027,1,40,NMH 310,37,"월5,목5"
BFT30057,1,30,NMH 310,19,"화4,금4"
BFT40012,1,40,NMH 310,38,"월4,목4"
BFT40013,1,50,NMH 310,29,"화5,금5"
BFT40055,1,30,NMH 310,17,"월10,화10,목10,금10"
IID40078,1,30,NMH 310,24,"목2,목3"
GCS10027,1,25,NMH 402,32,"화1,금1"
GCS10027,2,25,NMH 402,26,"화2,금2"
GCS10028,1,25,NMH 402,16,"화3,금3"
GEK10089,1,40,NMH 402,14,"목5,목6"
GEK10089,2,40,NMH 402,17,"금5,금6"
GEK20028,3,40,NMH 402,40,"화4,화5"
CCC30081,1,40,NMH 402,36,"월5,월6"
CCC40046,1,30,NMH 402,26,"월2,목2"
CSW20012,3,40,NMH 402,45,"목3,목4"
GEK10057,3,60,NMH 403,76,"월2,목2"
GEK10059,3,50,NMH 403,51,"월3,목3"
GEK20058,4,65,NMH 403,70,"화2,금2"
GEK20058,5,65,NMH 403,68,"화3,금3"
GEK20058,6,65,NMH 403,65,"화4,금4"
GEK20059,1,65,NMH 403,80,"월5,목5"
GEK20062,1,75,NMH 403,80,"월6,목6"
GEK20062,3,75,NMH 403,75,"월7,목7"
GEK20063,1,65,NMH 403,44,"월4,목4"
GEK40091,2,60,NMH 403,67,"수2,수3"
GEK10011,3,60,NMH 404,62,"수3,수4"
GEK10055,3,60,NMH 404,61,"월2,목2"
GEK10088,1,60,NMH 404,58,"화4,화5"
GEK10088,2,60,NMH 404,61,"화6,화7"
GEK20016,1,70,NMH 404,90,"월3,목3"
GEK20058,10,65,NMH 404,26,"월6,목6"
GEK20063,2,65,NMH 404,34,"월4,목4"
GEK20063,3,65,NMH 404,64,"화2,금2"
GEK20063,4,65,NMH 404,34,"화3,금3"
CCC20020,1,40,NMH 405,40,"월3,목3"
CCC20053,1,40,NMH 405,42,"화2,금2"
CCC20056,1,30,NMH 405,29,"월2,목2"
CCC20064,1,40,NMH 405,46,"화4,금4"
CCC20065,1,50,NMH 405,37,"월1,목1"
CCC20074,1,20,NMH 405,25,"목6,목7"
CCC20076,1,0,NMH 405,19,"목8,목9"
CCC20092,1,25,NMH 405,28,"월4,목4"
CCC30053,1,25,NMH 405,25,"화6,금6"
CCC30057,1,30,NMH 405,25,"화8,화9"
CCC40050,1,20,NMH 405,11,"화3,금3"
CCC40073,1,20,NMH 405,14,"수8,수9"
CCC40081,1,25,NMH 405,19,"월5,목5"
CCC40084,1,30,NMH 405,25,"수2,수3"
CCC30083,1,25,NMH 406,12,"화6,화7"
CCC30094,1,25,NMH 406,29,"화4,화5"
ENG20022,1,0,NMH 410A,15,"화6,금6"
GCS10003,1,50,NMH 410A,62,"월2,목2"
GCS10004,1,50,NMH 410A,58,"월4,목4"
GCS10061,2,60,NMH 410A,18,"화4,금4"
GCS10061,3,60,NMH 410A,14,"화5,금5"
GEK10022,1,40,NMH 410A,41,"월5,목5"
GEK10041,2,60,NMH 410A,57,"월6,목6"
GEK10058,1,0,NMH 410A,54,"화6,금6"
GEK10059,1,60,NMH 410A,60,"화2,금2"
GEK10060,1,60,NMH 410A,27,"월3,목3"
GEK10070,1,60,NMH 410A,60,"화3,금3"
BFT30055,1,40,NMH 410A,15,"월9,목9"
BFT40005,1,20,NMH 410A,20,"월8,목8"
BFT40005,2,20,NMH 410A,15,"화9,금9"
GEK10022,2,40,NMH 410B,40,"월6,목6"
GEK10035,1,60,NMH 410B,33,"목2,목3"
GEK10040,1,60,NMH 410B,45,"월1,월2"
GEK10040,2,60,NMH 410B,57,"월3,월4"
GEK10058,2,60,NMH 410B,24,"월5,목5"
GEA20004,1,40,NMH 410B,18,"금4,금5"
CCC30035,1,20,NMH 410B,20,"화2,금2"
CCC40044,1,20,NMH 410B,9,"화5,화6"
CCC40094,1,30,NMH 410B,29,"수2,수3"
GEK10094,1,20,NMH 411,15,"목8,목9"
GEA30021,1,40,NTH 113,13,"화4,화5"
HMM30006,1,40,NTH 118,25,"금5,금6,금7"
HMM30011,1,30,NTH 118,16,"수1,수2,수3"
HMM30055,1,30,NTH 118,30,"화5,화6,화7"
HMM20028,1,30,NTH 120B,33,"화5,화6,화7"
HMM20028,2,30,NTH 120B,33,"수1,수2,수3"
HMM20028,3,30,NTH 120B,30,"금5,금6,금7"
HMM30018,1,30,NTH 120B,33,"월6,목6,목7"
HMM30055,2,30,NTH 120B,29,"수8,수9,수10"
CUE40009,1,15,NTH 211,18,"목5,목6,목7,목8"
GEK10053,1,40,NTH 212,32,"월6,목6"
CUE20003,1,20,NTH 212,15,"화5,화6,화7,화8"
CUE20003,2,20,NTH 212,20,"금5,금6,금7,금8"
CUE20051,1,30,NTH 212,10,"화2,금2"
CUE30003,1,40,NTH 212,10,"화3,금3"
CUE30005,1,30,NTH 212,17,"월3,목3"
CUE30012,1,30,NTH 212,8,"월1,목1"
CUE30031,1,30,NTH 212,12,"월5,목5"
CUE30051,1,50,NTH 212,38,"월2,목2"
CUE40012,1,30,NTH 212,31,수2
CUE40052,1,40,NTH 212,22,"화1,금1"
GCS10014,1,40,NTH 213,34,"월2,월3"
GCS10041,1,25,NTH 213,24,"화2,목2"
GCS10041,2,25,NTH 213,15,"화3,목3"
GEK10021,2,25,NTH 213,12,"목5,목6"
GEK10021,3,20,NTH 213,12,"토1,토2"
GEK10077,1,30,NTH 213,30,"화6,화7"
GEK20021,2,25,NTH 213,24,"목7,목8"
GEK20021,3,20,NTH 213,7,"토3,토4"
GEK30007,1,40,NTH 213,32,월7
CCE32001,1,35,NTH 213,22,"화4,화5"
ECE40093,3,0,NTH 213,25,"수8,금7"
CUE20014,1,30,NTH 213,9,"월5,월6"
HMM20031,2,40,NTH 214,35,"월3,목3"
HMM40029,1,30,NTH 214,37,"화3,금3"
HMM40037,1,40,NTH 214,42,"금5,금6,금7"
HMM40039,1,30,NTH 214,24,"화1,금1,금2"
HMM40047,1,40,NTH 214,37,"화4,금4"
HMM40053,1,30,NTH 214,10,"월4,목3,목4"
CUE20003,3,20,NTH 215,14,"목5,목6,목7,목8"
CUE30062,1,20,NTH 215,12,"월5,월6,월7,월8"
CUE40003,1,20,NTH 217,15,"목5,목6,목7,목8"
CUE30030,1,30,NTH 218,10,"월2,목2"
CUE40053,1,35,NTH 218,34,"화2,금2"
CUE30001,1,15,NTH 220,24,"월5,월6,월7,월8"
CUE30001,2,15,NTH 220,36,"화5,화6,화7,화8"
GEA20053,1,40,NTH 310,10,"화3,금3"
ECE20016,1,40,NTH 310,33,"월5,목5"
ECE20016,2,40,NTH 310,29,"월6,목6"
ECE20051,1,40,NTH 310,8,"월2,목2"
ECE20051,2,40,NTH 310,40,"월3,목3"
ECE30051,1,40,NTH 310,41,"화2,금2"
ECE30092,1,0,NTH 310,33,"수4,금7"
ECE40061,1,40,NTH 310,11,"화5,금5"
HMM20075,1,40,NTH 310,43,월4
GEA20022,1,40,NTH 311,4,"월4,수4"
GEA20056,1,50,NTH 311,13,"수2,수3"
ECE20010,1,40,NTH 311,14,"월3,목3"
ECE30021,2,40,NTH 311,41,"화6,금6"
ECE30063,1,40,NTH 311,23,"화4,금4"
ECE40012,1,20,NTH 311,37,"화3,금3"
ECE40084,1,40,NTH 311,19,"월2,목2"
ITP20007,1,40,NTH 311,44,"화2,금2"
ITP40003,1,20,NTH 311,25,"월5,목5"
