ITP20001.1,"[5, 41]",0EsQt1Ys
ECE20060.2,"[43, 44]",0EsQt1Ys
GEK30014.2,"[6, 42]",0EsQt1Ys
BFT20002.1,"[16, 52]",0F7x7i3U
GEK10070.1,"[15, 51]",0F7x7i3U
GEK10096.1,"[2, 38]",0F7x7i3U
GEK10059.3,"[3, 39]",0F7x7i3U
BFT20001.1,"[40, 41]",0F7x7i3U
CUE20003.2,"[53, 54, 55, 56]",0fdRIfRQ
CUE20005.1,"[4, 16]",0fdRIfRQ
CUE20013.1,"[15, 51]",0fdRIfRQ
CUE30001.2,"[17, 18, 19, 20]",0fdRIfRQ
CUE30051.1,"[2, 38]",0fdRIfRQ
CUE20014.1,"[5, 6]",0fdRIfRQ
CUE20005.1,"[4, 16]",0fdRIfRQ
GCS20006.1,"[14, 50]",0h6JY6AE
GEA20051.1,"[13, 49]",0h6JY6AE
ISE20074.1,"[15, 51]",0h6JY6AE
GEA30011.1,[1],0h6JY6AE
GEA30020.1,"[5, 6]",0h6JY6AE
ISE40073.2,"[4, 40]",0h6JY6AE
GCS10003.1,"[2, 38]",0h6JY6AE
GEK10077.1,"[18, 19]",0HAYmuLV
GEK20028.3,"[16, 17]",0HAYmuLV
IID20016.3,"[41, 42]",0HAYmuLV
IID20013.1,"[6, 7]",0HAYmuLV
CSW20012.3,"[39, 40]",0HAYmuLV
BFT30001.1,"[14, 50]",0Hv8pr5P
BFT30016.1,"[15, 51]",0Hv8pr5P
BFT40052.1,"[20, 56]",0Hv8pr5P
GEK20042.2,"[19, 55]",0Hv8pr5P
BFT30010.1,"[8, 44]",0Hv8pr5P
BFT30020.1,"[6, 42]",0Hv8pr5P
HMM10041.2,"[15, 51]",0izE7vp9
HMM20017.1,"[5, 41]",0izE7vp9
HMM20041.1,"[1, 37]",0izE7vp9
GCS10004.1,"[4, 40]",0izE7vp9
HMM30018.1,"[6, 42, 43]",0izE7vp9
HMM20031.2,"[3, 39]",0izE7vp9
GCS10002.1,"[18, 19]",0jGBnCf8
GCS10062.9,"[15, 51]",0jGBnCf8
GEK20058.4,"[14, 50]",0jGBnCf8
GCS10037.1,"[5, 41]",0jGBnCf8
GEK10062.1,"[2, 38]",0jGBnCf8
GEK10060.1,"[3, 39]",0jGBnCf8
LAW30072.1,"[15, 51]",0kpIvwfL
MEC20002.2,"[14, 50]",0kpIvwfL
GEK10040.2,"[3, 4]",0kpIvwfL
CCE20003.1,"[2, 38]",0kpIvwfL
GEK10021.4,[53],0KsJYER8
ECE20016.1,"[5, 41]",0KsJYER8
ITP20001.2,"[6, 42]",0KsJYER8
ECE20057.1,"[2, 38]",0KsJYER8
GEK10030.1,"[14, 50]",0kWo1qCk
GEK10070.1,"[15, 51]",0kWo1qCk
GEK20058.1,"[13, 49]",0kWo1qCk
GCS10001.5,"[3, 39]",0kWo1qCk
GEK10041.3,"[41, 42]",0kWo1qCk
GEK20021.2,"[43, 44]",0kWo1qCk
GEK20058.2,"[14, 50]",0lkO8EjY
LAW10004.1,"[1, 37]",0lkO8EjY
ISE10051.2,[5],0lkO8EjY
GEK10062.1,"[2, 38]",0lkO8EjY
MEC10001.1,"[6, 42]",0lkO8EjY
ECE20051.3,"[14, 50]",0m5WN4Jf
ECE30030.1,"[17, 53]",0m5WN4Jf
ECE40093.3,"[32, 55]",0m5WN4Jf
GCS20002.2,"[5, 41]",0m5WN4Jf
ECE30075.1,"[2, 38]",0m5WN4Jf
GCS10037.4,"[16, 52]",0MHA49kY
GEK20058.1,"[13, 49]",0MHA49kY
GEK30030.1,"[15, 51]",0MHA49kY
GEK10041.1,"[3, 39]",0MHA49kY
GCS10052.10,"[2, 38]",0MHA49kY
GEK10057.1,"[5, 41]",0MHA49kY
BFT30057.1,"[16, 52]",0PLxwd2X
BFT40013.1,"[17, 53]",0PLxwd2X
BFT40012.1,"[4, 40]",0PLxwd2X
ECE20016.1,"[5, 41]",0PLxwd2X
ECE20057.1,"[2, 38]",0PLxwd2X
CUE20003.1,"[17, 18, 19, 20]",0pude2vx
CUE20005.1,"[4, 16]",0pude2vx
GEK10062.1,"[2, 38]",0pude2vx
CUE30001.1,"[5, 6, 7, 8]",0pude2vx
CUE20005.1,"[4, 16]",0pude2vx
CUE20052.1,"[1, 37]",0pude2vx
GCS10053.4,"[15, 51]",0uuLl6Cj
GEK10066.1,"[14, 50]",0uuLl6Cj
ISE20085.1,"[17, 18]",0uuLl6Cj
GCS10001.6,"[5, 41]",0uuLl6Cj
GEK20062.3,"[7, 43]",0uuLl6Cj
GEK20058.8,"[3, 39]",0uuLl6Cj
CSW20054.1,"[15, 51]",0vgFfTuI
GEK10030.1,"[14, 50]",0vgFfTuI
GEK10041.3,"[41, 42]",0vgFfTuI
CSW20065.1,"[2, 38]",0vgFfTuI
GEK10042.1,"[3, 39]",0vgFfTuI
BFT30001.1,"[14, 50]",0VHLpiL3
BFT30016.1,"[15, 51]",0VHLpiL3
ISE10022.1,"[53, 54]",0VHLpiL3
ISE30096.1,"[2, 38]",0VHLpiL3
BFT30027.1,"[5, 41]",0VHLpiL3
GEK20062.3,"[7, 43]",0VHLpiL3
BFT30055.1,"[9, 45]",0VHLpiL3
CSW20054.1,"[15, 51]",0VLowURz
GEK20033.1,"[14, 50]",0VLowURz
GEK10041.3,"[41, 42]",0VLowURz
HMM10041.1,"[3, 39]",0VLowURz
GEK10090.1,"[15, 51]",0vOfhf0q
GEK20033.1,"[14, 50]",0vOfhf0q
GCS10052.3,"[6, 42]",0vOfhf0q
GEK10060.1,"[3, 39]",0vOfhf0q
GEK20058.7,"[2, 38]",0vOfhf0q
GEK10057.1,"[5, 41]",0vOfhf0q
CSW30008.1,"[14, 50]",0wnLRf6j
ISE30080.1,"[17, 53]",0wnLRf6j
ISE20075.1,"[3, 39]",0wnLRf6j
ISE20084.1,"[6, 42]",0wnLRf6j
CSW20065.1,"[2, 38]",0wnLRf6j
GCS10002.6,"[14, 50]",0wzrHPLW
GCS10010.1,"[18, 54]",0wzrHPLW
GEK10061.2,"[15, 51]",0wzrHPLW
LAW10004.1,"[1, 37]",0wzrHPLW
