NMH 106,MEC30003.1,"[13, 49]",0YSKpyeE
NMH 103A,MEC30010.1,"[17, 18]",0YSKpyeE
ANH 305,LAW30034.1,"[2, 38]",0YSKpyeE
GLC 202,GCS20002.1,"[4, 40]",0YSKpyeE
NMH 107,MEC40006.1,"[3, 39]",0YSKpyeE
HDH 403,GCS10002.5,"[13, 49]",0Z0Rxxfi
HDH 425B,GEK10090.2,"[17, 53]",0Z0Rxxfi
HDH 418B,GEK10095.3,"[18, 54]",0Z0Rxxfi
NMH 105,GEK10062.2,"[3, 39]",0Z0Rxxfi
OH 403,GEK20058.7,"[2, 38]",0Z0Rxxfi
OH 405,MEC10001.1,"[6, 42]",0Z0Rxxfi
NMH 410B,GEA20004.1,"[52, 53]",10XoOwTZ
NMH 204,IID20013.2,"[14, 15]",10XoOwTZ
HDH 402,IID20055.2,"[17, 18]",10XoOwTZ
ANH 313,GEA30020.1,"[5, 6]",10XoOwTZ
NMH 202,IID20006.1,"[38, 39]",10XoOwTZ
NMH 208,IID20016.3,"[41, 42]",10XoOwTZ
NMH 208,IID20059.3,"[18, 19]",12M4hi6W
NMH 202,IID30086.1,"[14, 15]",12M4hi6W
NMH 208,IID20016.3,"[41, 42]",12M4hi6W
SU 101,GEK30022.1,"[5, 6]",12M4hi6W
NMH 207,CSW30009.3,"[13, 49]",16dGVIJF
NMH 309,ISE30093.1,"[50, 51]",16dGVIJF
GLC 202,GCS20002.1,"[4, 40]",16dGVIJF
HDH 318,ISE10002.1,"[2, 38]",16dGVIJF
HDH 320B,CSW30006.1,"[6, 42]",16dGVIJF
HDH 326A,ISE20040.1,"[5, 41]",16dGVIJF
OH 405,CSW20054.1,"[15, 51]",1AJBdFZT
NMH 404,GEK20063.3,"[14, 50]",1AJBdFZT
OH 405,GEK30015.2,[18],1AJBdFZT
HDH 318,ISE10002.1,"[2, 38]",1AJBdFZT
HDH 326A,ISE20040.1,"[5, 41]",1AJBdFZT
OH 405,GEK10042.1,"[3, 39]",1AJBdFZT
HDH 318,ISE20085.1,"[17, 18]",1BZibMUi
NMH 108,MEC20054.1,"[14, 50]",1BZibMUi
HDH 403,GCS10007.1,"[4, 40]",1BZibMUi
NMH 107,MEC20055.1,"[2, 38]",1BZibMUi
NMH 403,GEK20059.1,"[5, 41]",1BZibMUi
NMH 403,GEK20062.3,"[7, 43]",1BZibMUi
HCA 2F,GEK10098.2,"[18, 19]",1cQyO3AY
HDH 324,ISE30032.1,"[14, 50]",1cQyO3AY
ANH 304,UIL30015.1,"[15, 51]",1cQyO3AY
ANH 302,UIL30011.1,"[6, 42]",1cQyO3AY
ANH 304,UIL20013.1,"[3, 39]",1cQyO3AY
NMH 410A,GEK10022.1,"[5, 41]",1cQyO3AY
OH 403,GEK10096.3,"[17, 53]",1cRmeYWs
NMH 403,GEK20058.4,"[14, 50]",1cRmeYWs
NMH 107,MEC10001.3,"[15, 51]",1cRmeYWs
HDH 419,GEK10038.3,"[41, 42]",1cRmeYWs
HDH 424,GCS10001.5,"[3, 39]",1cRmeYWs
NMH 404,GEK10055.3,"[2, 38]",1cRmeYWs
OH 420,GEK20011.3,"[4, 40]",1cRmeYWs
NMH 410A,GEK10059.1,"[14, 50]",1dFNgRJj
NMH 404,GEK20063.4,"[15, 51]",1dFNgRJj
OH 405,GEK30015.2,[18],1dFNgRJj
ANH Auditorium,GEK10041.1,"[3, 39]",1dFNgRJj
GLC 304,GCS10052.2,"[4, 40]",1dFNgRJj
OH 405,GEK10057.1,"[5, 41]",1dFNgRJj
HDH 424,GCS10001.1,"[14, 50]",1dVr6O3J
NMH 410A,GCS10061.3,"[17, 53]",1dVr6O3J
NMH 410A,GEK10058.1,"[18, 54]",1dVr6O3J
GLC 302,GCS10052.7,"[3, 39]",1dVr6O3J
OH 403,GEK20058.7,"[2, 38]",1dVr6O3J
OH 405,GEK10057.1,"[5, 41]",1dVr6O3J
OH 305,HMM10041.2,"[15, 51]",1edk201m
OH 405,HMM20026.1,"[13, 49]",1edk201m
NTH 120B,HMM20028.1,"[17, 18, 19]",1edk201m
HDH 320A,GCS10058.1,"[5, 41]",1edk201m
HDH 425B,GEK20053.2,"[3, 39]",1edk201m
OH 305,HMM30012.1,"[6, 42]",1edk201m
HDH 403,GCS10002.5,"[13, 49]",1f4bGp7m
NMH 108,GCS10037.12,"[15, 51]",1f4bGp7m
NMH 410A,GCS10061.3,"[17, 53]",1f4bGp7m
NMH 404,GEK10088.2,"[18, 19]",1f4bGp7m
HDH 318,ISE10002.1,"[2, 38]",1f4bGp7m
NMH 403,GEK20063.1,"[4, 40]",1f4bGp7m
GLC 305,GCS10053.7,"[17, 53]",1ffLuYKi
NMH 410A,GEK10070.1,"[15, 51]",1ffLuYKi
NMH 107,MEC20055.1,"[2, 38]",1ffLuYKi
NMH 307,GEK10041.3,"[41, 42]",1ffLuYKi
OH 302,GCS10007.3,"[17, 53]",1fGs0sim
OH 305,HMM10041.2,"[15, 51]",1fGs0sim
OH 405,HMM20026.1,"[13, 49]",1fGs0sim
HDH 425B,GEK10053.2,"[5, 41]",1fGs0sim
NTH 310,HMM20075.1,[4],1fGs0sim
OH 305,HMM30012.1,"[6, 42]",1fGs0sim
NMH 410A,ENG20022.1,"[18, 54]",1Gisk7Sz
HDH 418B,GEK10055.2,"[14, 50]",1Gisk7Sz
OH 403,GEK10096.3,"[17, 53]",1Gisk7Sz
OH 403,GEK20058.3,"[15, 51]",1Gisk7Sz
HDH 419,GEK10038.1,"[37, 38]",1Gisk7Sz
OH 420,GCS10058.2,"[3, 39]",1Gisk7Sz
OH 420,GEK20011.3,"[4, 40]",1Gisk7Sz
OH 420,GEK30014.2,"[6, 42]",1Gisk7Sz
GLC 305,GCS10053.6,"[16, 52]",1k9xqe4I
NMH 103A,MEC20002.2,"[14, 50]",1k9xqe4I
NMH 107,MEC20005.1,"[13, 49]",1k9xqe4I
HDH 320A,GCS10058.1,"[5, 41]",1k9xqe4I
NMH 103A,MEC20001.1,"[4, 40]",1k9xqe4I
NMH 107,MEC20055.1,"[2, 38]",1k9xqe4I
NTH 417,ECE20060.1,"[19, 20]",1KNoLrpq
OH 401,ITP20003.2,"[17, 53]",1KNoLrpq
NTH 313,ITP20007.2,"[15, 51]",1KNoLrpq
HDH 425B,GEK10053.2,"[5, 41]",1KNoLrpq
NTH 310,ECE20051.2,"[3, 39]",1KNoLrpq
NTH 313,ITP20001.2,"[6, 42]",1KNoLrpq
HDH 303B,GCS10039.1,"[17, 53]",1MgDeno1
HDH 318,GEK10095.2,"[15, 51]",1MgDeno1
NMH 105,MEC10002.2,"[16, 52]",1MgDeno1
NMH 105,GEK10062.2,"[3, 39]",1MgDeno1
NMH 107,MEC20055.3,"[6, 42]",1MgDeno1
OH 420,GEK20011.3,"[4, 40]",1MgDeno1
GLC 303,GCS10053.3,"[14, 50]",1mWaz25x
NMH 403,GEK20058.6,"[16, 52]",1mWaz25x
OH 405,GEK30015.2,[18],1mWaz25x
HDH 303B,GCS10037.1,"[5, 41]",1mWaz25x
HDH 403,GCS10007.1,"[4, 40]",1mWaz25x
NMH 410A,GEK10041.2,"[6, 42]",1mWaz25x
NTH 220,CUE30001.2,"[17, 18, 19, 20]",1STCPFmH
NMH 202,IID20006.2,"[50, 51]",1STCPFmH
NMH 204,IID20061.2,"[6, 7]",1STCPFmH
NMH 208,IID20016.3,"[41, 42]",1STCPFmH
NMH 410A,GCS10003.1,"[2, 38]",1STCPFmH
HCA 2F,GEK10098.2,"[18, 19]",1TCc3EkQ
ANH 302,LAW20003.1,"[16, 52]",1TCc3EkQ
ANH 302,LAW20008.1,"[15, 51]",1TCc3EkQ
ANH 302,LAW30074.1,"[3, 39]",1TCc3EkQ
NMH 103A,MEC20001.1,"[4, 40]",1TCc3EkQ
SU 101,GEK20028.2,"[41, 42]",1TCc3EkQ
HDH 403,GCS10001.3,"[17, 53]",1TzRMLVH
NMH 403,GEK20058.4,"[14, 50]",1TzRMLVH
OH 402,GEK30030.1,"[15, 51]",1TzRMLVH
